Unit,Sales
8,20000
8,20000
4,10000
15,37500
3,7500
10,25000
3,7500
11,27500
15,37500
15,37500
3,7500
10,25000
13,32500
5,12500
4,10000
10,25000
13,32500
4,10000
6,15000
5,12500
13,32500
8,20000
9,22500
14,35000
12,30000
12,30000
16,40000
28,70000
16,40000
28,70000
21,52500
29,72500
15,37500
22,55000
32,80000
21,52500
49,122500
36,90000
34,85000
26,65000
31,77500
26,65000
26,65000
32,80000
27,67500
43,107500
50,125000
44,110000
20,50000
18,45000
15,37500
14,35000
18,45000
9,22500
10,25000
14,35000
11,27500
6,15000
5,12500
19,47500
39,97500
17,42500
34,85000
23,57500
40,100000
30,75000
30,75000
36,90000
22,55000
28,70000
30,75000
22,55000
13,32500
6,15000
3,7500
8,20000
7,17500
6,15000
11,27500
10,25000
4,10000
10,25000
8,20000
7,17500
10,25000
8,20000
13,32500
13,32500
10,25000
13,32500
8,20000
6,15000
7,17500
3,7500
5,12500
6,15000
5,12500
13,32500
13,32500
13,32500
11,27500
13,32500
8,20000
8,20000
7,17500
9,22500
3,7500
14,35000
14,35000
13,32500
33,82500
19,47500
16,40000
19,47500
22,55000
30,75000
20,50000
23,57500
12,30000
23,57500
42,105000
46,115000
48,120000
26,65000
46,115000
37,92500
36,90000
27,67500
42,105000
37,92500
36,90000
25,62500
13,32500
7,17500
12,30000
20,50000
10,25000
13,32500
7,17500
10,25000
5,12500
19,47500
9,22500
10,25000
32,80000
35,87500
20,50000
15,37500
33,82500
37,92500
27,67500
28,70000
20,50000
39,97500
25,62500
29,72500
4,10000
11,27500
3,7500
10,25000
11,27500
5,12500
4,10000
15,37500
11,27500
6,15000
14,35000
6,15000
15,37500
13,32500
6,15000
3,7500
9,22500
10,25000
7,17500
6,15000
3,7500
4,10000
13,32500
7,17500
8,20000
12,30000
11,27500
3,7500
7,17500
11,27500
9,22500
3,7500
11,27500
7,17500
9,22500
12,30000
19,47500
22,55000
25,62500
34,85000
10,25000
21,52500
11,27500
10,25000
31,77500
30,75000
33,82500
32,80000
50,125000
35,87500
49,122500
45,112500
42,105000
26,65000
42,105000
47,117500
34,85000
37,92500
39,97500
36,90000
15,37500
12,30000
20,50000
17,42500
7,17500
16,40000
17,42500
9,22500
20,50000
19,47500
8,20000
7,17500
32,80000
36,90000
39,97500
27,67500
18,45000
22,55000
33,82500
17,42500
32,80000
15,37500
36,90000
17,42500
4,10000
12,30000
8,20000
10,25000
10,25000
10,25000
14,35000
11,27500
3,7500
8,20000
9,22500
7,17500
7,17500
15,37500
15,37500
3,7500
3,7500
10,25000
6,15000
10,25000
9,22500
8,20000
9,22500
15,37500
9,22500
5,12500
8,20000
12,30000
3,7500
6,15000
7,17500
13,32500
11,27500
7,17500
7,17500
9,22500
11,27500
26,65000
19,47500
29,72500
15,37500
19,47500
31,77500
28,70000
22,55000
11,27500
11,27500
21,52500
37,92500
27,67500
33,82500
25,62500
26,65000
27,67500
26,65000
36,90000
31,77500
40,100000
46,115000
34,85000
19,47500
14,35000
14,35000
20,50000
16,40000
18,45000
8,20000
20,50000
12,30000
17,42500
16,40000
16,40000
21,52500
39,97500
34,85000
19,47500
26,65000
17,42500
33,82500
28,70000
32,80000
20,50000
35,87500
34,85000
6,15000
12,30000
7,17500
4,10000
10,25000
8,20000
11,27500
15,37500
12,30000
15,37500
11,27500
11,27500
11,27500
6,15000
6,15000
15,37500
14,35000
12,30000
3,7500
5,12500
7,17500
15,37500
8,20000
10,25000
15,37500
4,10000
8,20000
13,32500
9,22500
8,20000
8,20000
5,12500
9,22500
9,22500
3,7500
9,22500
25,62500
32,80000
17,42500
32,80000
28,70000
17,42500
22,55000
34,85000
34,85000
26,65000
32,80000
11,27500
38,95000
43,107500
41,102500
38,95000
34,85000
33,82500
31,77500
32,80000
40,100000
38,95000
30,75000
44,110000
7,17500
11,27500
13,32500
9,22500
12,30000
18,45000
9,22500
17,42500
13,32500
6,15000
9,22500
20,50000
38,95000
20,50000
15,37500
22,55000
35,87500
32,80000
29,72500
20,50000
28,70000
30,75000
23,57500
34,85000
9,22500
14,35000
5,12500
11,27500
7,17500
8,20000
3,7500
10,25000
15,37500
12,30000
13,32500
4,10000
14,35000
6,15000
10,25000
13,32500
5,12500
12,30000
15,37500
8,20000
8,20000
14,35000
4,10000
8,20000
9,22500
11,27500
3,7500
10,25000
10,25000
9,22500
6,15000
15,37500
3,7500
9,22500
3,7500
10,25000
26,65000
17,42500
25,62500
25,62500
32,80000
17,42500
19,47500
26,65000
21,52500
19,47500
33,82500
22,55000
50,125000
28,70000
35,87500
37,92500
41,102500
34,85000
48,120000
49,122500
49,122500
46,115000
25,62500
31,77500
11,27500
7,17500
9,22500
15,37500
7,17500
15,37500
5,12500
7,17500
17,42500
14,35000
19,47500
20,50000
37,92500
35,87500
15,37500
17,42500
39,97500
26,65000
33,82500
29,72500
40,100000
20,50000
28,70000
34,85000
14,35000
5,12500
14,35000
14,35000
13,32500
11,27500
7,17500
5,12500
4,10000
10,25000
10,25000
8,20000
12,30000
15,37500
9,22500
9,22500
4,10000
15,37500
5,12500
9,22500
8,20000
9,22500
10,25000
5,12500
3,7500
7,17500
11,27500
11,27500
14,35000
6,15000
6,15000
13,32500
3,7500
12,30000
8,20000
14,35000
23,57500
18,45000
13,32500
23,57500
18,45000
33,82500
17,42500
24,60000
18,45000
35,87500
16,40000
15,37500
29,72500
36,90000
28,70000
42,105000
28,70000
25,62500
36,90000
44,110000
47,117500
28,70000
33,82500
49,122500
12,30000
13,32500
8,20000
19,47500
6,15000
20,50000
9,22500
8,20000
11,27500
6,15000
12,30000
7,17500
18,45000
39,97500
38,95000
18,45000
37,92500
16,40000
27,67500
18,45000
25,62500
38,95000
29,72500
27,67500
11,27500
14,35000
14,35000
3,7500
15,37500
12,30000
15,37500
5,12500
12,30000
8,20000
5,12500
14,35000
14,35000
3,7500
10,25000
7,17500
10,25000
14,35000
9,22500
4,10000
12,30000
3,7500
3,7500
10,25000
12,30000
11,27500
5,12500
8,20000
15,37500
8,20000
8,20000
10,25000
13,32500
3,7500
6,15000
7,17500
14,35000
21,52500
26,65000
19,47500
24,60000
28,70000
10,25000
30,75000
19,47500
29,72500
31,77500
27,67500
41,102500
33,82500
37,92500
44,110000
26,65000
39,97500
41,102500
45,112500
44,110000
49,122500
34,85000
47,117500
16,40000
16,40000
16,40000
15,37500
10,25000
8,20000
7,17500
15,37500
14,35000
7,17500
19,47500
11,27500
24,60000
21,52500
31,77500
29,72500
20,50000
39,97500
36,90000
19,47500
37,92500
26,65000
37,92500
26,65000
8,20000
5,12500
15,37500
9,22500
4,10000
8,20000
5,12500
15,37500
15,37500
12,30000
10,25000
10,25000
3,7500
12,30000
7,17500
4,10000
13,32500
3,7500
6,15000
4,10000
7,17500
3,7500
13,32500
11,27500
9,22500
10,25000
5,12500
3,7500
8,20000
15,37500
5,12500
9,22500
10,25000
10,25000
7,17500
13,32500
26,65000
19,47500
21,52500
35,87500
18,45000
15,37500
34,85000
25,62500
33,82500
19,47500
10,25000
12,30000
43,107500
39,97500
37,92500
48,120000
25,62500
37,92500
42,105000
36,90000
48,120000
32,80000
43,107500
26,65000
6,15000
13,32500
8,20000
14,35000
16,40000
17,42500
15,37500
7,17500
6,15000
10,25000
14,35000
5,12500
37,92500
27,67500
22,55000
16,40000
27,67500
27,67500
38,95000
21,52500
27,67500
21,52500
35,87500
23,57500
11,27500
12,30000
6,15000
7,17500
9,22500
7,17500
6,15000
11,27500
